miRNA, Clontech_trimmed.4_acc.fq, Illumina_trimmed.4_acc.fq, NEB_trimmed.4_acc.fq, NEXT_trimmed.4_acc.fq, directional_deduped_lib_align_seed15_acc_4_bam2fastq.fq, Five_double_acc_4.fq
miRNAtotal, 45230516, 35390927, 17853342, 29532219, 2552653, 1433296
synth_miRNA-1-EBV-MIR-BART10, 2219, 50498, 244520, 37103, 3779, 1738
synth_miRNA-10-EBV-MIR-BART1-5P, 26640, 2802, 13092, 65193, 5772, 3244
synth_miRNA-100-RLCV-MIR-RL1-8, 156750, 3315, 1453, 5959, 1542, 284
synth_miRNA-101-RLCV-MIR-RL1-9, 14520, 2736, 2275, 72741, 2033, 3544
synth_miRNA-102-SV40-MIR-S1, 63761, 3667, 42917, 82435, 3745, 4138
synth_miRNA-103-SV40-MIR-S1-5P, 4420, 10007, 2247, 817, 495, 45
synth_miRNA-104-LET-7A, 8049, 3648, 6430, 23493, 2416, 1094
synth_miRNA-105-LET-7B, 15191, 1854, 3499, 8028, 1527, 316
synth_miRNA-106-LET-7C, 12719, 7287, 4747, 11697, 1925, 520
synth_miRNA-107-LET-7D*, 13870, 1669, 1475, 8974, 1847, 419
synth_miRNA-108-LET-7D, 30144, 2680, 1550, 16735, 1984, 811
synth_miRNA-109-LET-7E, 16589, 2810, 1608, 6388, 1545, 296
synth_miRNA-11-EBV-MIR-BART16, 23050, 2786, 12505, 18408, 2331, 873
synth_miRNA-110-LET-7F, 37921, 6817, 11113, 28262, 3052, 1345
synth_miRNA-111-LET-7G, 50153, 20704, 37923, 48181, 3575, 2323
synth_miRNA-112-LET-7I, 35347, 45604, 96184, 32882, 3415, 1594
synth_miRNA-113-MIR-1, 6121, 164, 1984, 13157, 1593, 637
synth_miRNA-114-MIR-100, 16915, 414266, 157519, 101594, 7260, 4853
synth_miRNA-115-MIR-101, 9739, 15531, 14461, 14484, 2426, 686
synth_miRNA-116-MIR-103, 25820, 20133, 22017, 90034, 6380, 4419
synth_miRNA-117-MIR-105, 68752, 4394, 9490, 51126, 5311, 2561
synth_miRNA-118-MIR-106A, 5304, 633, 1289, 4213, 1324, 197
synth_miRNA-119-MIR-106B, 2966, 1143, 936, 10406, 2279, 472
synth_miRNA-12-EBV-MIR-BART17, 4576, 1301, 1213, 28822, 2255, 1355
synth_miRNA-120-MIR-107, 23272, 13460, 5472, 23952, 3060, 1131
synth_miRNA-121-MIR-10A, 14911, 264879, 53245, 80862, 6745, 3702
synth_miRNA-122-MIR-10B, 13569, 420320, 88452, 107814, 6735, 5164
synth_miRNA-123-MIR-122, 25879, 1663, 2353, 15641, 2306, 757
synth_miRNA-124-MIR-124, 4945, 7242, 4877, 12895, 1786, 522
synth_miRNA-125-MIR-125A, 123300, 25831, 2160, 36749, 4725, 1798
synth_miRNA-126-MIR-125B, 47456, 16429, 4504, 33099, 3718, 1542
synth_miRNA-127-MIR-126, 17592, 1638, 13573, 11525, 2218, 596
synth_miRNA-128-MIR-126-5P, 251222, 139995, 1498, 15464, 2233, 772
synth_miRNA-129-MIR-127, 33165, 1168470, 203190, 77442, 5786, 3758
synth_miRNA-13-EBV-MIR-BART17-5P, 17053, 6999, 783, 5289, 1551, 228
synth_miRNA-130-MIR-128, 30604, 5624, 10355, 51235, 3544, 2309
synth_miRNA-131-MIR-129, 4669, 107, 64, 3048, 812, 155
synth_miRNA-132-MIR-129-5P, 14879, 13375, 122664, 70181, 8277, 3437
synth_miRNA-133-MIR-130A, 34601, 2901, 113, 367, 247, 15
synth_miRNA-134-MIR-130B, 99476, 5817, 600, 7217, 1499, 325
synth_miRNA-135-MIR-132, 57468, 5499, 3548, 50763, 2483, 2516
synth_miRNA-136-MIR-133A, 6947, 22053, 733, 7236, 1619, 329
synth_miRNA-137-MIR-133B, 4406, 2228, 512, 4146, 1427, 204
synth_miRNA-138-MIR-134, 17654, 47785, 70491, 132726, 6918, 6511
synth_miRNA-139-MIR-135A, 21365, 643, 1182, 11222, 1384, 527
synth_miRNA-14-EBV-MIR-BART18, 4364, 151779, 11061, 14141, 1833, 651
synth_miRNA-140-MIR-135B, 8338, 401, 1676, 8933, 868, 448
synth_miRNA-141-MIR-136, 7928, 1558, 8772, 1199, 802, 60
synth_miRNA-142-MIR-136, 4630, 610, 2231, 300, 221, 0
synth_miRNA-143-MIR-137, 26434, 228, 244, 2082, 886, 92
synth_miRNA-144-MIR-138, 21116, 8165, 1322, 3178, 1238, 132
synth_miRNA-145-MIR-139-5P, 42195, 334, 1575, 17636, 2199, 779
synth_miRNA-146-MIR-140, 62934, 59440, 65811, 294586, 10142, 14244
synth_miRNA-147-MIR-140-5P, 4265, 706, 1017, 3886, 1272, 172
synth_miRNA-148-MIR-141, 4385, 3117, 809, 2906, 1077, 136
synth_miRNA-149-MIR-142, 1732, 1775, 2511, 1343, 539, 61
synth_miRNA-15-EBV-MIR-BART18-5P, 31122, 955, 165, 30675, 4079, 1488
synth_miRNA-150-MIR-142-5P, 4109, 12786, 3217, 1843, 905, 104
synth_miRNA-151-MIR-143, 24524, 115105, 56253, 92895, 6632, 4515
synth_miRNA-152-MIR-144, 2561, 10162, 4983, 2333, 1074, 111
synth_miRNA-153-MIR-145, 16850, 167, 177, 5471, 1033, 264
synth_miRNA-154-MIR-146A, 225950, 111057, 59503, 93127, 3925, 4512
synth_miRNA-155-MIR-146B-5P, 165417, 309966, 174829, 186394, 5209, 9033
synth_miRNA-156-MIR-147A, 100750, 4791, 26578, 15820, 2031, 738
synth_miRNA-157-MIR-147B, 38998, 30445, 12879, 3391, 1003, 181
synth_miRNA-158-MIR-148A, 11363, 71071, 262427, 61911, 5274, 3022
synth_miRNA-159-MIR-148B, 15396, 13580, 40111, 42584, 3898, 1989
synth_miRNA-16-EBV-MIR-BART19, 1254, 15034, 11903, 41399, 4837, 2109
synth_miRNA-160-MIR-149, 198329, 7436, 5396, 26076, 3738, 1222
synth_miRNA-161-MIR-150, 82414, 1598, 704, 12614, 2158, 600
synth_miRNA-162-MIR-151, 49920, 93209, 141937, 74659, 7001, 3585
synth_miRNA-163-MIR-151-5P, 11362, 13561, 2077, 34321, 3419, 1642
synth_miRNA-164-MIR-152, 14984, 2602, 44950, 63902, 5270, 3066
synth_miRNA-165-MIR-153, 8039, 69330, 5280, 5901, 1458, 282
synth_miRNA-166-MIR-154*, 37531, 650, 1419, 46441, 2138, 2341
synth_miRNA-167-MIR-154, 18084, 1500, 382, 1554, 758, 79
synth_miRNA-168-MIR-155, 4640, 20491, 8025, 42406, 3396, 2076
synth_miRNA-169-MIR-15A, 3335, 2592, 244, 2103, 869, 97
synth_miRNA-17-EBV-MIR-BART19-5P, 36058, 46927, 966, 26113, 1808, 1258
synth_miRNA-170-MIR-15B, 13303, 1424, 439, 19635, 1738, 926
synth_miRNA-171-MIR-16, 22903, 13478, 753, 15190, 1812, 746
synth_miRNA-172-MIR-17*, 61768, 2973, 749, 7355, 1417, 360
synth_miRNA-173-MIR-17, 11330, 1148, 2433, 4764, 1393, 236
synth_miRNA-174-MIR-181A*, 10327, 366165, 26797, 85056, 6044, 4086
synth_miRNA-175-MIR-181A, 8766, 655179, 48914, 62761, 6633, 2969
synth_miRNA-176-MIR-181B, 6969, 82702, 20931, 66352, 4483, 3081
synth_miRNA-177-MIR-181C, 13279, 776201, 14586, 20259, 3379, 1064
synth_miRNA-178-MIR-181D, 18562, 137477, 96010, 51456, 5568, 2525
synth_miRNA-179-MIR-182*, 14022, 1971, 6143, 96565, 3760, 4675
synth_miRNA-18-EBV-MIR-BART20, 58822, 7790, 2997, 8635, 1755, 0
synth_miRNA-180-MIR-182, 48115, 137372, 25946, 83003, 7492, 3895
synth_miRNA-181-MIR-183, 52726, 303117, 59686, 140311, 9147, 6848
synth_miRNA-182-MIR-184, 26017, 172740, 166942, 76784, 6626, 3839
synth_miRNA-183-MIR-185, 235556, 642, 3341, 17259, 2451, 829
synth_miRNA-184-MIR-186, 8264, 29065, 2732, 16147, 2001, 754
synth_miRNA-185-MIR-187, 63503, 10353, 4384, 6472, 2131, 329
synth_miRNA-186-MIR-188, 31546, 23897, 728, 1770, 907, 59
synth_miRNA-187-MIR-188-5P, 16209, 1237, 30314, 7738, 1406, 398
synth_miRNA-188-MIR-18A*, 104613, 1888, 1935, 22665, 2440, 1116
synth_miRNA-189-MIR-18A, 12098, 2681, 852, 5255, 1155, 263
synth_miRNA-19-EBV-MIR-BART20-5P-RLCV-MIR-RL1-16-5P_2, 67011, 1904, 999, 12054, 1793, 599
synth_miRNA-190-MIR-18B, 7959, 307, 558, 1499, 552, 63
synth_miRNA-191-MIR-190, 1857, 251, 102, 994, 434, 39
synth_miRNA-192-MIR-190B, 23700, 18988, 4907, 27415, 3391, 1306
synth_miRNA-193-MIR-191*, 28386, 11058, 1925, 63069, 3065, 3070
synth_miRNA-194-MIR-191, 151928, 252471, 5665, 41147, 5112, 2036
synth_miRNA-195-MIR-192, 63448, 269610, 15855, 39702, 4098, 1892
synth_miRNA-196-MIR-193A, 1665, 48, 0, 49, 21, 0
synth_miRNA-197-MIR-193B, 1321, 319, 68, 1254, 521, 66
synth_miRNA-198-MIR-194, 63345, 4394, 8238, 62751, 3539, 3041
synth_miRNA-199-MIR-195, 10448, 15121, 5942, 23610, 2534, 1164
synth_miRNA-2-EBV-MIR-BART11, 22405, 5684, 1426, 44067, 4038, 2164
synth_miRNA-20-EBV-MIR-BART2, 70721, 181, 88, 5316, 1216, 290
synth_miRNA-200-MIR-196A, 64988, 9381, 5346, 39781, 3621, 1977
synth_miRNA-201-MIR-196B, 48342, 34106, 17653, 83201, 5554, 4099
synth_miRNA-202-MIR-197, 8165, 1425, 1234, 7457, 1680, 354
synth_miRNA-203-MIR-198, 91739, 449, 157, 9339, 1099, 448
synth_miRNA-204-MIR-199A-199B, 9638, 3423, 2342, 19034, 2114, 939
synth_miRNA-205-MIR-199A-5P, 61627, 17013, 18959, 16952, 3063, 820
synth_miRNA-206-MIR-199B-5P, 35610, 56031, 29366, 23022, 4328, 1091
synth_miRNA-207-MIR-19A, 18790, 730, 90, 3551, 866, 153
synth_miRNA-208-MIR-19B, 30368, 499, 83, 4125, 962, 206
synth_miRNA-209-MIR-200A*, 63602, 30434, 215758, 145494, 6873, 7119
synth_miRNA-21-EBV-MIR-BART2-5P, 16703, 623, 2846, 23567, 1928, 1126
synth_miRNA-210-MIR-200A, 10683, 5391, 20954, 28455, 3402, 1326
synth_miRNA-211-MIR-200B, 20258, 1428, 1419, 30812, 2790, 1527
synth_miRNA-212-MIR-200C, 45371, 868, 6199, 60251, 5690, 2971
synth_miRNA-213-MIR-202*, 4196, 219, 689, 3134, 984, 147
synth_miRNA-214-MIR-202, 26066, 14559, 690, 3234, 1166, 157
synth_miRNA-215-MIR-203, 46418, 7067, 4004, 28723, 3379, 1391
synth_miRNA-216-MIR-204, 5075, 5888, 1264, 9637, 2063, 487
synth_miRNA-217-MIR-205, 49734, 19449, 6401, 25715, 2896, 1268
synth_miRNA-218-MIR-206, 89070, 1506, 32073, 40477, 4490, 2031
synth_miRNA-219-MIR-208A, 111, 116, 0, 38, 19, 0
synth_miRNA-22-EBV-MIR-BART3, 35370, 964, 701, 1496, 822, 63
synth_miRNA-220-MIR-208B, 960, 42229, 2239, 1777, 895, 89
synth_miRNA-221-MIR-20A, 3996, 1176, 4353, 4581, 1451, 220
synth_miRNA-222-MIR-20B, 13651, 1501, 3132, 7824, 1702, 412
synth_miRNA-223-MIR-21, 12826, 10000, 8392, 33100, 3771, 1485
synth_miRNA-224-MIR-210, 42174, 27819, 16099, 24773, 4211, 1210
synth_miRNA-225-MIR-211, 12116, 11884, 782, 14076, 2108, 714
synth_miRNA-226-MIR-212, 33352, 2835, 782, 14050, 2201, 694
synth_miRNA-227-MIR-214, 7166, 195, 343, 2780, 830, 136
synth_miRNA-228-MIR-215, 40610, 328048, 27923, 148391, 6155, 7259
synth_miRNA-229-MIR-216A, 6555, 4566, 1244, 3003, 1199, 163
synth_miRNA-23-EBV-MIR-BART3-5P, 3101, 15752, 1656, 15821, 2366, 792
synth_miRNA-230-MIR-216B, 3182, 583, 1144, 8940, 1673, 464
synth_miRNA-231-MIR-217, 166072, 4264, 51095, 53405, 4905, 2675
synth_miRNA-232-MIR-218, 805, 970, 2082, 21025, 1802, 1037
synth_miRNA-233-MIR-219, 474, 69, 96, 299, 179, 12
synth_miRNA-234-MIR-22*, 10581, 622, 3692, 16537, 2351, 743
synth_miRNA-235-MIR-22, 917, 62519, 4213, 5579, 1298, 271
synth_miRNA-236-MIR-220A, 2868, 516, 260, 8993, 1674, 460
synth_miRNA-237-MIR-220B, 3063, 76, 17, 480, 269, 23
synth_miRNA-238-MIR-220C, 1110, 17786, 6833, 16368, 2820, 815
synth_miRNA-239-MIR-221, 33037, 6819, 2371, 26086, 4118, 1267
synth_miRNA-24-EBV-MIR-BART4, 107829, 2614, 24139, 20030, 2178, 931
synth_miRNA-240-MIR-222, 2470, 367, 713, 4614, 1039, 173
synth_miRNA-241-MIR-223, 77751, 1567, 682, 15144, 2419, 735
synth_miRNA-242-MIR-224, 185342, 16863, 11923, 156571, 6732, 7597
synth_miRNA-243-MIR-23A, 43321, 6929, 1892, 29527, 2659, 1438
synth_miRNA-244-MIR-23B, 21734, 7105, 1766, 24137, 2144, 1076
synth_miRNA-245-MIR-24, 102821, 679, 2350, 38475, 3025, 1835
synth_miRNA-246-MIR-24-1*, 43976, 1793, 13358, 4421, 1246, 210
synth_miRNA-247-MIR-25, 232871, 22850, 4656, 89339, 7201, 4282
synth_miRNA-248-MIR-26A, 1433, 7910, 13663, 53724, 3721, 2562
synth_miRNA-249-MIR-26B, 1700, 860, 960, 9738, 1784, 442
synth_miRNA-25-EBV-MIR-BART5, 64890, 555, 610, 1713, 880, 89
synth_miRNA-250-MIR-27A, 9586, 4375, 3862, 4354, 1361, 204
synth_miRNA-251-MIR-27B, 13792, 140632, 80149, 68087, 4595, 3274
synth_miRNA-252-MIR-28, 96754, 65863, 14805, 34812, 4321, 1702
synth_miRNA-253-MIR-28-5P, 10832, 2551, 1599, 8486, 1940, 413
synth_miRNA-254-MIR-296, 33429, 11069, 6757, 5592, 1861, 241
synth_miRNA-255-MIR-296-5P, 49710, 940, 694, 4612, 1208, 242
synth_miRNA-256-MIR-297A, 6296, 496, 2528, 1249, 593, 64
synth_miRNA-257-MIR-298, 79413, 76, 46, 2184, 774, 100
synth_miRNA-258-MIR-299, 5142, 9971, 2537, 2663, 993, 108
synth_miRNA-259-MIR-299-5P, 1685, 378, 499, 3237, 1155, 152
synth_miRNA-26-EBV-MIR-BART6, 35397, 39289, 15005, 52510, 4808, 2602
synth_miRNA-260-MIR-29A, 14653, 3765, 2642, 18560, 1969, 846
synth_miRNA-261-MIR-29B, 11054, 422, 694, 633, 410, 31
synth_miRNA-262-MIR-29C*, 14698, 1039, 1833, 6697, 1239, 321
synth_miRNA-263-MIR-29C, 8329, 843, 134, 391, 264, 16
synth_miRNA-264-MIR-300, 144399, 271736, 20684, 90578, 6035, 4303
synth_miRNA-265-MIR-301A, 26106, 65750, 375, 1624, 725, 82
synth_miRNA-266-MIR-301B, 26718, 70405, 2079, 1329, 687, 64
synth_miRNA-267-MIR-302A*, 10504, 2057, 4542, 66805, 5271, 3271
synth_miRNA-268-MIR-302A, 5036, 131, 533, 2478, 875, 107
synth_miRNA-269-MIR-302B*, 3477, 688, 119, 2882, 768, 140
synth_miRNA-27-EBV-MIR-BART6-5P, 14909, 19490, 5733, 33926, 2036, 1723
synth_miRNA-270-MIR-302B, 3650, 142, 724, 6013, 1272, 309
synth_miRNA-271-MIR-302C*, 4528, 3607, 2478, 52486, 2500, 2579
synth_miRNA-272-MIR-302C, 12867, 401, 6222, 5760, 2278, 268
synth_miRNA-273-MIR-302C, 8071, 0, 3553, 1251, 475, 69
synth_miRNA-274-MIR-302D, 1367, 411, 616, 5338, 1184, 267
synth_miRNA-275-MIR-30A*, 15935, 30869, 25988, 68813, 6042, 3357
synth_miRNA-276-MIR-30A, 739, 16347, 43141, 23219, 2970, 1066
synth_miRNA-277-MIR-30B, 872, 404, 435, 2872, 946, 129
synth_miRNA-278-MIR-30C, 17710, 2452, 6733, 37310, 2944, 1718
synth_miRNA-279-MIR-30D, 2267, 16999, 10994, 45042, 4555, 2082
synth_miRNA-28-EBV-MIR-BART7, 146164, 1948, 3535, 22007, 2708, 1061
synth_miRNA-280-MIR-30E*, 6304, 21143, 16736, 44362, 4630, 2202
synth_miRNA-281-MIR-30E, 832, 5241, 10662, 5637, 1475, 252
synth_miRNA-282-MIR-31, 16767, 24275, 1604, 8581, 1847, 428
synth_miRNA-283-MIR-31, 9998, 2910, 627, 2269, 525, 0
synth_miRNA-284-MIR-32, 4917, 432, 17442, 1651, 832, 75
synth_miRNA-285-MIR-320, 1829, 3679, 406, 7952, 1742, 386
synth_miRNA-286-MIR-322-MIR-424, 11862, 165, 31, 1248, 601, 50
synth_miRNA-287-MIR-323, 111306, 7696, 13962, 59366, 4711, 2947
synth_miRNA-288-MIR-323-5P, 18586, 4449, 1570, 11396, 2027, 534
synth_miRNA-289-MIR-324, 1125, 252, 249, 1940, 847, 81
synth_miRNA-29-EBV-MIR-BART8, 67192, 18802, 35066, 171175, 2844, 8308
synth_miRNA-290-MIR-324-5P, 6801, 58, 70, 1691, 652, 87
synth_miRNA-291-MIR-325, 23414, 6116, 166, 6681, 1794, 349
synth_miRNA-292-MIR-325-5P, 3642, 237, 112, 5100, 1313, 234
synth_miRNA-293-MIR-326, 84300, 1915, 2331, 7423, 1702, 356
synth_miRNA-294-MIR-328, 21820, 443, 596, 4551, 1133, 218
synth_miRNA-295-MIR-329, 39597, 236, 769, 30775, 2421, 1484
synth_miRNA-296-MIR-330, 161276, 7436, 10278, 96629, 8730, 4901
synth_miRNA-297-MIR-330-5P, 22106, 32438, 68673, 25329, 2729, 1193
synth_miRNA-298-MIR-331, 89851, 282, 39, 5677, 1398, 255
synth_miRNA-299-MIR-331-5P, 200412, 8537, 2285, 45366, 3411, 2247
synth_miRNA-3-EBV-MIR-BART11-5P, 87147, 997, 1012, 4563, 1391, 225
synth_miRNA-30-EBV-MIR-BART8-5P, 21408, 27716, 2040, 31099, 2908, 1468
synth_miRNA-300-MIR-335, 99772, 1806, 774, 8195, 1324, 376
synth_miRNA-301-MIR-337, 36872, 611, 541, 5160, 1350, 261
synth_miRNA-302-MIR-337, 2229, 6801, 557, 2873, 1068, 142
synth_miRNA-303-MIR-337-5P, 3804, 122, 54, 510, 311, 13
synth_miRNA-304-MIR-338, 22645, 10424, 234, 1988, 806, 103
synth_miRNA-305-MIR-338, 16444, 1873, 139, 831, 394, 40
synth_miRNA-306-MIR-339, 184738, 9163, 11185, 41250, 3577, 1942
synth_miRNA-307-MIR-339-5P, 43906, 1485, 2507, 43649, 5500, 2170
synth_miRNA-308-MIR-33A, 5286, 3732, 4196, 1406, 624, 48
synth_miRNA-309-MIR-33B, 1316, 1140, 252, 613, 354, 27
synth_miRNA-31-EBV-MIR-BART9, 12881, 1106, 1754, 115716, 4454, 5552
synth_miRNA-310-MIR-340, 104417, 12397, 4367, 212703, 10233, 10389
synth_miRNA-311-MIR-340-5P, 829, 2232, 615, 11473, 2082, 566
synth_miRNA-312-MIR-342, 262856, 4730, 369, 14564, 1856, 653
synth_miRNA-313-MIR-345-5P, 13195, 65843, 19044, 24280, 2639, 1113
synth_miRNA-314-MIR-346, 67534, 3546, 1995, 18342, 2608, 913
synth_miRNA-315-MIR-34A, 267932, 12350, 5085, 14469, 1689, 679
synth_miRNA-316-MIR-34B, 9892, 8768, 1121, 1943, 759, 97
synth_miRNA-317-MIR-34C-5P, 19605, 148387, 152530, 24586, 3469, 1154
synth_miRNA-318-MIR-361-5P, 11537, 8348, 664, 40890, 3526, 1990
synth_miRNA-319-MIR-362, 23417, 841, 83, 11341, 1385, 569
synth_miRNA-32-EBV-MIR-BHRF1-1, 9507, 50810, 14289, 25827, 3249, 1246
synth_miRNA-320-MIR-362-5P, 8382, 4549, 4325, 68982, 4252, 3426
synth_miRNA-321-MIR-363*, 114222, 1285, 1533, 25611, 2472, 1314
synth_miRNA-322-MIR-363, 23853, 12164, 44078, 36166, 3942, 1800
synth_miRNA-323-MIR-365, 12443, 385, 36, 1183, 532, 62
synth_miRNA-324-MIR-367, 7531, 297, 278, 1508, 528, 57
synth_miRNA-325-MIR-369, 23833, 534, 514, 25952, 1828, 1248
synth_miRNA-326-MIR-369-5P, 26277, 2089, 1639, 15839, 2206, 767
synth_miRNA-327-MIR-370, 17949, 42303, 546939, 81635, 4892, 4012
synth_miRNA-328-MIR-371, 15971, 2059, 2607, 5345, 1173, 254
synth_miRNA-329-MIR-371-5P, 9669, 154667, 14695, 52136, 4902, 2461
synth_miRNA-33-EBV-MIR-BHRF1-2*, 1619, 942, 450, 3005, 965, 126
synth_miRNA-330-MIR-372, 29507, 21508, 168303, 22966, 2684, 1169
synth_miRNA-331-MIR-373*, 10067, 474, 79, 1963, 669, 91
synth_miRNA-332-MIR-373, 15020, 25321, 1692, 5415, 1450, 235
synth_miRNA-333-MIR-374A, 16926, 1346, 1982, 24025, 1983, 1161
synth_miRNA-334-MIR-374B, 91720, 545, 1028, 20915, 2564, 1060
synth_miRNA-335-MIR-375, 11079, 107413, 12255, 83745, 6818, 4151
synth_miRNA-336-MIR-376A*, 7980, 4716, 1584, 15466, 1244, 729
synth_miRNA-337-MIR-376A, 24751, 476, 301, 14169, 1600, 703
synth_miRNA-338-MIR-376B, 11016, 649, 255, 2827, 522, 119
synth_miRNA-339-MIR-376C, 30817, 422, 206, 5552, 932, 256
synth_miRNA-34-EBV-MIR-BHRF1-2, 49025, 568, 1260, 14592, 2189, 654
synth_miRNA-340-MIR-377, 29307, 768, 760, 1497, 668, 83
synth_miRNA-341-MIR-378*, 17015, 4625, 7085, 24463, 2584, 1161
synth_miRNA-342-MIR-378, 3867, 133164, 114364, 73538, 5987, 3482
synth_miRNA-343-MIR-379, 81060, 6857, 245472, 146372, 7669, 7133
synth_miRNA-344-MIR-380, 59931, 690, 473, 11321, 1534, 550
synth_miRNA-345-MIR-380-5P, 100333, 5481, 63799, 118407, 7504, 5804
synth_miRNA-346-MIR-381, 95745, 154482, 1037914, 25649, 2942, 1192
synth_miRNA-347-MIR-382, 108123, 4899, 2643, 33053, 4042, 1609
synth_miRNA-348-MIR-383, 61899, 49808, 15761, 52813, 4107, 2507
synth_miRNA-349-MIR-384, 52464, 1526, 173, 7259, 1414, 348
synth_miRNA-35-EBV-MIR-BHRF1-3, 56294, 5782, 1428, 22242, 2346, 1059
synth_miRNA-350-MIR-384-5P, 4134, 607, 49, 10035, 1458, 490
synth_miRNA-351-MIR-409, 19066, 169903, 14977, 83425, 6048, 4111
synth_miRNA-352-MIR-409-5P, 12329, 265839, 2137, 39804, 3598, 1978
synth_miRNA-353-MIR-410, 18001, 147228, 19376, 32377, 3361, 1522
synth_miRNA-354-MIR-411*, 38649, 11148, 2445, 66279, 3706, 3254
synth_miRNA-355-MIR-411*, 32204, 6776, 16184, 28211, 3199, 1319
synth_miRNA-356-MIR-411, 33127, 384529, 113199, 87512, 4533, 4274
synth_miRNA-357-MIR-412, 11084, 5672, 1459, 27197, 1993, 1304
synth_miRNA-358-MIR-421, 56566, 11353, 344, 26467, 4044, 1205
synth_miRNA-359-MIR-421-5P, 61118, 851, 105, 912, 473, 49
synth_miRNA-36-HCMV-MIR-UL112, 3873, 90741, 26582, 22866, 3069, 1156
synth_miRNA-360-MIR-422A, 14839, 115074, 58867, 42118, 4832, 1918
synth_miRNA-361-MIR-423, 5166, 58765, 60675, 106956, 7531, 5290
synth_miRNA-362-MIR-423-5P, 161511, 3157, 1032, 2752, 1144, 110
synth_miRNA-363-MIR-425*, 5855, 18893, 17729, 22454, 2696, 1117
synth_miRNA-364-MIR-425, 22385, 2018, 1476, 28990, 1964, 1352
synth_miRNA-365-MIR-429, 38166, 8320, 13087, 20345, 2867, 940
synth_miRNA-366-MIR-431, 24562, 13485, 16839, 96389, 3388, 4740
synth_miRNA-367-MIR-432*, 171453, 22362, 9837, 9623, 1873, 442
synth_miRNA-368-MIR-432, 34672, 18751, 12700, 35771, 4125, 1808
synth_miRNA-369-MIR-433, 2506, 9998, 6631, 67611, 4518, 3280
synth_miRNA-37-HCMV-MIR-UL148D, 134858, 1803, 1053, 13009, 2237, 622
synth_miRNA-370-MIR-448, 236088, 23487, 11165, 117805, 6300, 5683
synth_miRNA-371-MIR-449A, 51433, 86697, 18855, 20421, 2431, 958
synth_miRNA-372-MIR-449B, 22731, 90697, 31426, 10416, 1956, 493
synth_miRNA-373-MIR-450A, 12955, 4280, 2568, 11660, 1817, 574
synth_miRNA-374-MIR-450B-5P, 31964, 26956, 8330, 67978, 4523, 3283
synth_miRNA-375-MIR-451, 4117, 2025, 1547, 7075, 1714, 386
synth_miRNA-376-MIR-452*, 37820, 2385, 1961, 1995, 843, 81
synth_miRNA-377-MIR-452*, 16022, 4246, 2785, 29371, 3490, 1464
synth_miRNA-378-MIR-452, 64262, 5511, 13381, 34017, 3651, 1649
synth_miRNA-379-MIR-453, 163973, 369, 554, 26297, 2613, 1271
synth_miRNA-38-HCMV-MIR-UL22A*, 48680, 12322, 5716, 33526, 2378, 1639
synth_miRNA-380-MIR-454*, 87976, 44761, 6359, 62195, 4747, 3048
synth_miRNA-381-MIR-454_1, 8230, 19146, 6376, 32820, 1700, 1591
synth_miRNA-382-MIR-455, 76167, 197, 146, 34243, 3304, 1718
synth_miRNA-383-MIR-455-5P, 12477, 43475, 15365, 13618, 2360, 665
synth_miRNA-384-MIR-483, 1404, 286, 299, 2189, 860, 109
synth_miRNA-385-MIR-483-5P, 4361, 358, 619, 2592, 998, 114
