miRNA, Clontech_trimmed.4_acc.fq, Illumina_trimmed.4_acc.fq, NEB_trimmed.4_acc.fq, NEXT_trimmed.4_acc.fq, directional_deduped_lib_align_seed15_acc_4_bam2fastq.fq, Five_double_acc_4.fq
synth_miRNA-676-MIR-18B, 3956, 4185, 5784, 8739, 1682, 401
synth_miRNA-677-MIR-193B, 12417, 4583, 1397, 3850, 1151, 168
synth_miRNA-678-MIR-199B-5P, 32578, 5678, 10012, 7605, 2273, 354
synth_miRNA-679-MIR-201, 15740, 1975, 799, 11757, 2097, 571
synth_miRNA-68-KSHV-MIR-K12-7, 53306, 6623, 1915, 53917, 2920, 2572
synth_miRNA-680-MIR-202, 41955, 366, 466, 9814, 1805, 453
synth_miRNA-681-MIR-207, 15260, 363, 255, 3874, 1160, 211
synth_miRNA-682-MIR-211, 15009, 8830, 1249, 16018, 2878, 759
synth_miRNA-683-MIR-215, 44203, 82321, 7008, 120049, 3981, 5867
synth_miRNA-684-MIR-217, 206395, 19689, 59264, 101196, 6656, 5101
synth_miRNA-685-MIR-220, 35001, 12917, 582, 4437, 1321, 223
synth_miRNA-686-MIR-224, 106110, 15032, 8338, 182948, 8064, 8815
synth_miRNA-687-MIR-28, 178012, 29625, 24748, 42752, 4527, 2114
synth_miRNA-688-MIR-290, 6081, 2365, 194, 2827, 1067, 142
synth_miRNA-689-MIR-290-5P, 9705, 281, 738, 4322, 980, 196
synth_miRNA-69-KSHV-MIR-K12-8, 68111, 156348, 161133, 185727, 8457, 9053
synth_miRNA-690-MIR-291A, 3639, 616, 2767, 2233, 666, 93
synth_miRNA-691-MIR-291A-5P, 13454, 1113, 713, 4228, 905, 198
synth_miRNA-692-MIR-291B, 5744, 308, 120, 424, 173, 20
synth_miRNA-693-MIR-291B-5P, 65634, 1162, 856, 12125, 2056, 603
synth_miRNA-694-MIR-292, 3306, 346, 337, 4081, 1092, 191
synth_miRNA-695-MIR-292-5P, 36118, 3270, 7245, 22703, 2980, 1132
synth_miRNA-696-MIR-293, 52746, 2422, 4424, 24243, 3467, 1163
synth_miRNA-697-MIR-294, 4366, 157, 269, 1845, 622, 82
synth_miRNA-698-MIR-295, 9532, 6770, 874, 4800, 1781, 242
synth_miRNA-699-MIR-297B, 53446, 2087, 9728, 6971, 1671, 319
synth_miRNA-7-EBV-MIR-BART14, 3493, 7295, 1090, 27869, 2548, 1450
synth_miRNA-70-KSHV-MIR-K12-9*, 1774, 7, 0, 34, 24, 0
synth_miRNA-700-MIR-297C, 32492, 595, 1676, 684, 323, 20
synth_miRNA-701-MIR-298, 45060, 132375, 3531, 12534, 2151, 635
synth_miRNA-702-MIR-299, 3490, 12554, 6686, 7811, 1839, 333
synth_miRNA-703-MIR-300, 171425, 41597, 99098, 21937, 2987, 1056
synth_miRNA-704-MIR-301B, 91338, 93931, 3490, 14790, 2078, 670
synth_miRNA-705-MIR-302B*, 35296, 202, 104, 11078, 1331, 577
synth_miRNA-706-MIR-302C*, 11725, 6627, 2266, 53392, 2546, 2590
synth_miRNA-707-MIR-302C, 15513, 610, 4801, 3904, 1078, 193
synth_miRNA-708-MIR-322*, 38548, 7322, 3409, 89203, 3803, 4238
synth_miRNA-709-MIR-322-MIR-424, 26714, 93, 14, 156, 82, 8
synth_miRNA-71-KSHV-MIR-K12-9, 204498, 553, 170, 2926, 886, 157
synth_miRNA-710-MIR-325, 4920, 2552, 56, 5316, 1485, 263
synth_miRNA-711-MIR-325-5P, 22006, 5643, 5405, 41466, 4158, 1993
synth_miRNA-712-MIR-327, 7748, 17131, 1066, 6003, 1378, 281
synth_miRNA-713-MIR-329, 25165, 44, 116, 1873, 744, 88
synth_miRNA-714-MIR-330, 37170, 2764, 1681, 55772, 4590, 2709
synth_miRNA-715-MIR-337-5P, 49713, 9160, 6862, 20916, 3128, 1048
synth_miRNA-716-MIR-339, 13460, 24353, 29947, 14116, 2359, 655
synth_miRNA-717-MIR-341, 9864, 445802, 453367, 15701, 2628, 748
synth_miRNA-718-MIR-343, 102085, 2878, 1909, 12642, 1668, 588
synth_miRNA-719-MIR-344, 20492, 21768, 33832, 23377, 2837, 1140
synth_miRNA-72-MGHV-MIR-M1-1, 51272, 788, 1427, 12998, 1882, 615
synth_miRNA-720-MIR-344-5P, 12329, 1908, 5971, 6486, 1112, 321
synth_miRNA-721-MIR-344-5P, 6507, 5702, 3915, 40169, 5376, 1918
synth_miRNA-722-MIR-345-5P, 2621, 954, 668, 2494, 758, 123
synth_miRNA-723-MIR-346, 95492, 7207, 1587, 27550, 2983, 1319
synth_miRNA-724-MIR-34B-5P, 13652, 6864, 1681, 1148, 583, 41
synth_miRNA-725-MIR-350, 62531, 224, 162, 3171, 1061, 148
synth_miRNA-726-MIR-350, 33819, 788, 524, 2860, 1159, 133
synth_miRNA-727-MIR-351, 100426, 19814, 1891, 49136, 4883, 2517
synth_miRNA-728-MIR-351, 91905, 31271, 2585, 38655, 5276, 1881
synth_miRNA-729-MIR-362, 7422, 1882, 869, 20537, 2522, 965
synth_miRNA-73-MGHV-MIR-M1-2, 43676, 464, 1005, 5371, 1410, 299
synth_miRNA-730-MIR-362-5P, 3938, 6438, 3498, 35714, 4259, 1742
synth_miRNA-731-MIR-374*, 195020, 2593, 852, 45747, 2590, 2157
synth_miRNA-732-MIR-376A, 6425, 854, 138, 1064, 642, 48
synth_miRNA-733-MIR-376B*, 3655, 1194, 388, 7395, 1026, 373
synth_miRNA-734-MIR-376B, 22432, 1078, 746, 12478, 2005, 643
synth_miRNA-735-MIR-376C, 100399, 1333, 174, 11132, 1210, 543
synth_miRNA-736-MIR-380, 35046, 3281, 6243, 20437, 2460, 975
synth_miRNA-737-MIR-383, 67930, 87357, 40160, 42981, 6342, 2073
synth_miRNA-738-MIR-384, 61440, 2699, 519, 18001, 1664, 841
synth_miRNA-739-MIR-384-5P, 15245, 513, 244, 16928, 2278, 783
synth_miRNA-74-MGHV-MIR-M1-3, 35958, 1031, 239, 4277, 999, 199
synth_miRNA-740-MIR-429, 32932, 9230, 3420, 15636, 2381, 753
synth_miRNA-741-MIR-433-5P, 42204, 16728, 1823, 37466, 4186, 1873
synth_miRNA-742-MIR-434, 24173, 52106, 5593, 48115, 3871, 2423
synth_miRNA-743-MIR-434-5P, 40211, 116856, 55597, 50602, 4865, 2383
synth_miRNA-744-MIR-449B, 14109, 14890, 9913, 2334, 1177, 110
synth_miRNA-745-MIR-449C, 26746, 908, 1569, 3760, 658, 179
synth_miRNA-746-MIR-450B, 64730, 467, 305, 54406, 2724, 2698
synth_miRNA-747-MIR-450B-5P, 20442, 33991, 33859, 24467, 4072, 1200
synth_miRNA-748-MIR-453, 143328, 462, 786, 14281, 2251, 649
synth_miRNA-749-MIR-455, 91133, 283, 249, 49532, 4610, 2373
synth_miRNA-75-MGHV-MIR-M1-4, 250406, 3043, 305, 31249, 3187, 1571
synth_miRNA-750-MIR-463*, 215020, 876, 182, 15838, 2145, 813
synth_miRNA-751-MIR-463, 19653, 1190, 589, 4302, 1213, 196
synth_miRNA-752-MIR-464, 52702, 4089, 31645, 27329, 3164, 1363
synth_miRNA-753-MIR-465A-465B-465C, 31263, 4338, 3267, 20362, 2853, 973
synth_miRNA-754-MIR-465A-5P, 1618, 777, 566, 1726, 821, 73
synth_miRNA-755-MIR-465B-5P, 37751, 13024, 9352, 38470, 3628, 1894
synth_miRNA-756-MIR-465C-5P, 23618, 41475, 13448, 36989, 3647, 1795
synth_miRNA-757-MIR-465D, 57777, 22531, 75852, 31221, 3989, 1502
synth_miRNA-758-MIR-466A-466B-466C-466E, 5261, 629, 188, 1321, 653, 66
synth_miRNA-759-MIR-466A-5P, 84383, 7133, 4144, 8317, 1844, 388
synth_miRNA-76-MGHV-MIR-M1-5, 16474, 156389, 8143, 204063, 1916, 10077
synth_miRNA-760-MIR-466B-5P, 222943, 37299, 7125, 23152, 1865, 1158
synth_miRNA-761-MIR-466C-5P, 99776, 2760, 4395, 9527, 1681, 486
synth_miRNA-762-MIR-466D-5P, 66209, 221240, 4940, 3051, 1008, 149
synth_miRNA-763-MIR-466E-5P, 73515, 3513, 2996, 1918, 760, 83
synth_miRNA-764-MIR-466F-5P, 26421, 2947, 23416, 6094, 1339, 299
synth_miRNA-765-MIR-466G, 2910, 2849, 719, 2610, 1077, 126
synth_miRNA-766-MIR-466H, 25433, 833, 5343, 8200, 1567, 388
synth_miRNA-767-MIR-467A*-467D*, 8517, 107, 84, 644, 408, 23
synth_miRNA-768-MIR-467A-467B, 35658, 4611, 1688, 7822, 1673, 372
synth_miRNA-769-MIR-467B*, 17875, 186, 235, 1732, 803, 79
synth_miRNA-77-MGHV-MIR-M1-6, 15169, 766, 3739, 7143, 1515, 363
synth_miRNA-770-MIR-467C, 25548, 6499, 6468, 22994, 1931, 1076
synth_miRNA-771-MIR-467D, 17335, 4523, 1979, 3033, 788, 141
synth_miRNA-772-MIR-467E, 49503, 1270, 3504, 19670, 1561, 976
synth_miRNA-773-MIR-468, 83019, 24502, 49811, 73659, 4125, 3740
synth_miRNA-774-MIR-469, 11206, 11545, 580, 20690, 1653, 1007
synth_miRNA-775-MIR-470, 2072, 239415, 28285, 62065, 6405, 3002
synth_miRNA-776-MIR-471, 40994, 4456, 2877, 45269, 4614, 2236
synth_miRNA-777-MIR-483, 3465, 233, 249, 2349, 987, 85
synth_miRNA-778-MIR-483-5P, 12350, 579, 790, 3640, 1237, 197
synth_miRNA-779-MIR-488*, 159062, 25471, 2611, 39020, 3497, 1940
synth_miRNA-78-MGHV-MIR-M1-7, 37158, 213, 356, 2439, 918, 126
synth_miRNA-780-MIR-488, 3127, 112771, 17526, 9928, 2216, 511
synth_miRNA-781-MIR-489, 48483, 6820, 1720, 5653, 1695, 257
synth_miRNA-782-MIR-493, 138481, 42700, 41773, 113533, 8556, 5687
synth_miRNA-783-MIR-500, 45551, 1147, 356, 5212, 1287, 222
synth_miRNA-784-MIR-501, 3221, 304560, 2771, 30508, 3529, 1333
synth_miRNA-785-MIR-501-5P, 6856, 318, 302, 7020, 1795, 338
synth_miRNA-786-MIR-503, 16798, 95, 1111, 15117, 1520, 704
synth_miRNA-787-MIR-505, 30202, 676, 472, 21696, 2011, 978
synth_miRNA-788-MIR-509, 20087, 6914, 43067, 22021, 2312, 1102
synth_miRNA-789-MIR-509-5P, 16734, 100, 86, 10115, 1756, 498
synth_miRNA-79-MGHV-MIR-M1-7-5P, 6415, 10101, 1230, 30397, 1145, 1522
synth_miRNA-790-MIR-511, 21148, 5044, 4523, 49858, 3410, 2437
synth_miRNA-791-MIR-540, 54700, 7894, 26310, 44308, 3261, 2163
synth_miRNA-792-MIR-540-5P, 7339, 2909, 992, 694, 426, 0
synth_miRNA-793-MIR-541, 41226, 225497, 94426, 158754, 7564, 7624
synth_miRNA-794-MIR-544, 19548, 4694, 378, 2519, 949, 124
synth_miRNA-795-MIR-546, 9940, 22589, 5401, 18266, 1840, 887
synth_miRNA-796-MIR-547, 67632, 20115, 17818, 23572, 3089, 1108
synth_miRNA-797-MIR-582, 221463, 27150, 3139, 23525, 2716, 1163
synth_miRNA-798-MIR-582-5P, 1274, 4543, 18534, 1848, 491, 101
synth_miRNA-799-MIR-598, 48272, 14579, 13428, 16640, 2529, 789
synth_miRNA-8-EBV-MIR-BART14-5P, 66079, 560, 855, 24492, 1839, 1167
synth_miRNA-80-MGHV-MIR-M1-8, 12930, 1195, 1102, 34640, 1743, 1707
synth_miRNA-800-MIR-654-5P, 81547, 25254, 61181, 95149, 7066, 4654
synth_miRNA-801-MIR-665, 36593, 19439, 4610, 16458, 2650, 838
synth_miRNA-802-MIR-666, 11321, 17409, 867, 45772, 1394, 2190
synth_miRNA-803-MIR-666-5P, 22637, 492134, 195130, 101816, 6219, 4854
synth_miRNA-804-MIR-667, 136421, 3724, 1304, 14385, 2237, 694
synth_miRNA-805-MIR-669A, 71435, 1237, 3903, 10793, 1549, 526
synth_miRNA-806-MIR-669B, 8547, 376, 1603, 3564, 1115, 165
synth_miRNA-807-MIR-669C, 38365, 1335, 9052, 21015, 2875, 970
synth_miRNA-808-MIR-670, 47494, 277, 189, 9386, 1698, 438
synth_miRNA-809-MIR-672, 7256, 2997, 736, 3101, 1215, 152
synth_miRNA-81-MGHV-MIR-M1-9, 39408, 629, 1025, 29209, 2778, 1364
synth_miRNA-810-MIR-673, 55930, 593773, 163446, 121194, 8318, 5999
synth_miRNA-811-MIR-673-5P, 108575, 31922, 2247, 58990, 3120, 2889
synth_miRNA-812-MIR-674*, 68465, 2366, 502, 15568, 2663, 780
synth_miRNA-813-MIR-674, 10130, 462, 1092, 15581, 1663, 688
synth_miRNA-814-MIR-675, 35413, 3423, 1857, 1463, 641, 59
synth_miRNA-815-MIR-675-5P, 32472, 11355, 13411, 27768, 2396, 1326
synth_miRNA-816-MIR-676*, 74113, 80307, 13688, 115402, 6951, 5566
synth_miRNA-817-MIR-676, 2798, 19148, 3167, 18770, 2640, 880
synth_miRNA-818-MIR-677, 15415, 84541, 77747, 31891, 2371, 1539
synth_miRNA-819-MIR-678, 43032, 70749, 361904, 237459, 8689, 11665
synth_miRNA-82-MIR-652, 12977, 4382, 6890, 96267, 2621, 4695
synth_miRNA-820-MIR-679, 287562, 60073, 74279, 86745, 1320, 4288
synth_miRNA-821-MIR-680, 18108, 484, 1736, 13339, 1934, 622
synth_miRNA-822-MIR-681, 105889, 6556, 2850, 5711, 1493, 263
synth_miRNA-823-MIR-682, 138697, 277269, 70016, 39410, 3010, 1985
synth_miRNA-824-MIR-683, 54792, 49883, 19953, 99941, 7008, 4901
synth_miRNA-825-MIR-684, 54520, 276, 102, 4141, 852, 193
synth_miRNA-826-MIR-685, 53405, 23238, 2531, 34093, 3044, 1690
synth_miRNA-827-MIR-686, 49324, 1052, 4548, 2951, 1131, 138
synth_miRNA-828-MIR-687, 125569, 6918, 2963, 67620, 4462, 3285
synth_miRNA-829-MIR-688, 88405, 5558, 1069, 33632, 3129, 1629
synth_miRNA-83-RLCV-MIR-RL1-1, 52858, 39969, 30394, 18454, 1916, 879
synth_miRNA-830-MIR-689, 20989, 2576, 173, 539, 283, 0
synth_miRNA-831-MIR-690, 127974, 19694, 3208, 29845, 3486, 1381
synth_miRNA-832-MIR-691, 187709, 156, 30, 2033, 660, 88
synth_miRNA-833-MIR-692, 37686, 38073, 6069, 58836, 2825, 2780
synth_miRNA-834-MIR-693, 1481, 790, 94, 776, 427, 26
synth_miRNA-835-MIR-693-5P, 20804, 1124, 582, 5350, 1291, 256
synth_miRNA-836-MIR-694, 177319, 37014, 76192, 83434, 5657, 4160
synth_miRNA-837-MIR-695, 160322, 52609, 4774, 71571, 5524, 3517
synth_miRNA-838-MIR-696, 49994, 8166, 90733, 66968, 5297, 3313
synth_miRNA-839-MIR-697, 23504, 35665, 56519, 252564, 7967, 12258
synth_miRNA-84-RLCV-MIR-RL1-10, 32818, 214558, 8079, 61773, 4509, 3055
synth_miRNA-840-MIR-698, 110537, 6008, 3679, 20000, 2389, 949
synth_miRNA-841-MIR-699, 13720, 13557, 6076, 13652, 1325, 685
synth_miRNA-842-MIR-700, 277616, 27380, 19315, 159536, 6940, 7733
synth_miRNA-843-MIR-701, 11642, 1447, 6298, 10300, 1645, 528
synth_miRNA-844-MIR-702, 67846, 1318, 541, 8765, 1307, 437
synth_miRNA-845-MIR-703, 1356, 54, 12, 1113, 501, 60
synth_miRNA-846-MIR-704, 57830, 28537, 136889, 66228, 3568, 3167
synth_miRNA-847-MIR-705, 1111, 20, 46, 195, 115, 4
synth_miRNA-848-MIR-706, 108695, 230, 31, 1406, 466, 67
synth_miRNA-849-MIR-707, 86774, 1653, 2319, 17189, 2161, 873
synth_miRNA-85-RLCV-MIR-RL1-11, 21377, 9314, 9464, 124965, 3554, 6180
synth_miRNA-850-MIR-709, 144004, 718, 353, 2295, 915, 95
synth_miRNA-851-MIR-710, 147830, 607, 567, 54388, 1150, 2662
synth_miRNA-852-MIR-711, 276746, 200512, 2275, 8253, 1491, 403
synth_miRNA-853-MIR-712*, 2730, 704, 1993, 5839, 1330, 299
synth_miRNA-854-MIR-712, 66181, 98034, 5511, 102899, 5721, 5123
synth_miRNA-855-MIR-713, 670399, 8160, 7280, 67258, 4213, 3359
synth_miRNA-856-MIR-714, 63164, 174157, 1741, 35023, 2210, 1684
synth_miRNA-857-MIR-715, 126195, 7903, 7341, 5204, 1476, 273
synth_miRNA-858-MIR-717, 41823, 15737, 9509, 4893, 1521, 221
synth_miRNA-859-MIR-718, 4757, 8774, 7731, 3561, 1004, 175
synth_miRNA-86-RLCV-MIR-RL1-12, 29242, 67614, 38720, 104195, 5814, 5218
synth_miRNA-860-MIR-719, 30956, 44250, 30383, 28653, 3408, 1429
synth_miRNA-861-MIR-720, 131785, 8483, 7229, 64644, 4650, 3216
synth_miRNA-862-MIR-721, 51769, 504, 83, 2025, 600, 97
synth_miRNA-863-MIR-741, 44318, 132829, 5405, 67783, 4961, 3243
synth_miRNA-864-MIR-742*, 64092, 706, 167, 15135, 1615, 725
synth_miRNA-865-MIR-742, 100041, 141, 25, 1902, 639, 101
synth_miRNA-866-MIR-743A, 94637, 2769, 2831, 49109, 3762, 2340
synth_miRNA-867-MIR-743B, 146426, 60109, 16626, 70013, 4321, 3382
synth_miRNA-868-MIR-743B-5P, 54097, 18356, 15401, 88387, 6675, 4364
synth_miRNA-869-MIR-759, 58730, 2756, 1065, 3224, 1106, 155
synth_miRNA-87-RLCV-MIR-RL1-12-5P, 41273, 2125, 1697, 9188, 1643, 455
synth_miRNA-870-MIR-761, 219453, 6723, 4712, 183056, 3006, 9093
synth_miRNA-871-MIR-762, 53376, 22354, 9586, 19199, 2267, 967
synth_miRNA-872-MIR-763, 65186, 4718, 6118, 1238, 653, 53
synth_miRNA-873-MIR-764, 9467, 38542, 3690, 2328, 941, 107
synth_miRNA-874-MIR-764-5P, 96018, 868, 623, 8576, 1565, 413
synth_miRNA-875-MIR-770, 163296, 24467, 45774, 103404, 7589, 5027
synth_miRNA-876-MIR-770-5P, 42150, 17783, 12490, 60209, 3135, 2948
synth_miRNA-877-MIR-7B, 16228, 1815, 5596, 9955, 2189, 516
synth_miRNA-878-MIR-801, 17885, 13144, 7097, 25861, 2063, 1208
synth_miRNA-879-MIR-804, 14582, 2920, 4636, 9950, 1283, 498
synth_miRNA-88-RLCV-MIR-RL1-13, 232592, 1704, 1648, 70445, 2036, 3455
synth_miRNA-880-MIR-805, 447884, 76945, 73823, 206069, 9027, 10053
synth_miRNA-881-MIR-871, 45812, 14010, 1846, 14406, 3039, 664
synth_miRNA-882-MIR-872, 9740, 16360, 11392, 6869, 1945, 345
synth_miRNA-883-MIR-875, 64014, 11932, 13736, 17352, 2873, 853
synth_miRNA-884-MIR-876, 6922, 596, 233, 2017, 843, 86
synth_miRNA-885-MIR-876-5P, 4732, 4993, 3005, 1375, 674, 59
synth_miRNA-886-MIR-878, 86881, 1678, 7364, 115843, 6259, 5585
synth_miRNA-887-MIR-878-5P, 155523, 49148, 95836, 115009, 7737, 5633
synth_miRNA-888-MIR-879, 697, 84024, 6126, 5512, 1248, 239
synth_miRNA-889-MIR-880, 14055, 16256, 31093, 20306, 2890, 1019
synth_miRNA-89-RLCV-MIR-RL1-14, 24558, 48851, 11893, 140573, 7511, 6930
synth_miRNA-890-MIR-881, 20676, 59579, 451155, 39100, 3900, 1888
synth_miRNA-891-MIR-882, 90935, 5726, 1278, 9895, 1981, 473
synth_miRNA-892-MIR-883A, 23374, 4771, 5263, 36061, 3107, 1730
synth_miRNA-893-MIR-883B, 18844, 1159, 789, 5982, 1408, 269
synth_miRNA-894-MIR-883B-5P, 127490, 926, 312, 12923, 1932, 587
synth_miRNA-895-MIR-1*, 8783, 437, 159, 357, 223, 14
synth_miRNA-896-MIR-1, 42952, 697, 28908, 44121, 4069, 2214
synth_miRNA-897-MIR-105, 13020, 1794, 5760, 18156, 3638, 895
synth_miRNA-898-MIR-190B, 12323, 8155, 2299, 9633, 1934, 446
synth_miRNA-899-MIR-196C, 72468, 12617, 6491, 45266, 4417, 2249
synth_miRNA-9-EBV-MIR-BART15, 15190, 816, 108, 1559, 628, 75
synth_miRNA-90-RLCV-MIR-RL1-14-5P, 51339, 23497, 22484, 58449, 4425, 2823
synth_miRNA-900-MIR-201, 28768, 3493, 962, 13264, 2288, 633
synth_miRNA-901-MIR-202, 115980, 131, 143, 5800, 1295, 248
synth_miRNA-902-MIR-207, 13349, 353, 187, 3311, 1166, 186
synth_miRNA-903-MIR-20A*, 24010, 1138, 374, 16595, 1841, 804
synth_miRNA-904-MIR-20B*, 9278, 36448, 7411, 11155, 1991, 541
synth_miRNA-905-MIR-290, 13145, 9485, 4029, 15944, 2733, 815
synth_miRNA-906-MIR-290-5P, 16485, 340, 1234, 3949, 1274, 184
synth_miRNA-907-MIR-291B, 13294, 588, 341, 10154, 854, 472
synth_miRNA-908-MIR-291B-5P, 35166, 1996, 1345, 9964, 1827, 444
synth_miRNA-909-MIR-293, 47726, 262, 270, 803, 448, 52
synth_miRNA-91-RLCV-MIR-RL1-15, 37073, 3646, 39030, 48064, 3704, 2414
synth_miRNA-910-MIR-294, 8332, 144, 239, 2021, 676, 87
synth_miRNA-911-MIR-295, 5595, 3674, 1780, 7566, 1127, 340
synth_miRNA-912-MIR-297, 8673, 17115, 7663, 6974, 1746, 345
synth_miRNA-913-MIR-297C, 4264, 1138, 4274, 1964, 883, 106
synth_miRNA-914-MIR-327, 6730, 2390, 2165, 4163, 964, 199
synth_miRNA-915-MIR-333, 17839, 510, 2348, 12019, 2122, 613
synth_miRNA-916-MIR-336, 50330, 776, 291, 8296, 1427, 398
synth_miRNA-917-MIR-339, 42871, 11122, 8301, 35376, 3641, 1685
synth_miRNA-918-MIR-343, 115195, 10067, 3536, 13403, 2110, 622
synth_miRNA-919-MIR-344, 24910, 1685, 2659, 7797, 1514, 365
synth_miRNA-92-RLCV-MIR-RL1-16, 121907, 50961, 3518, 40424, 3906, 1911
synth_miRNA-920-MIR-346, 12265, 3988, 1850, 58181, 5020, 2803
synth_miRNA-921-MIR-347, 84885, 2832, 884, 8698, 1590, 418
synth_miRNA-922-MIR-349, 93050, 2380, 2455, 27238, 3180, 1366
synth_miRNA-923-MIR-352, 113505, 4957, 912, 98058, 2801, 4774
synth_miRNA-924-MIR-377, 28883, 607, 1150, 2897, 1007, 131
synth_miRNA-925-MIR-382*, 16305, 15517, 3486, 38959, 3981, 1916
synth_miRNA-926-MIR-449B, 30667, 25191, 34709, 20711, 2924, 951
synth_miRNA-927-MIR-450A, 10064, 20917, 2704, 34995, 2860, 1674
synth_miRNA-928-MIR-450B-5P, 11913, 12519, 6600, 6122, 1832, 270
synth_miRNA-929-MIR-453, 212188, 1139, 534, 38331, 4191, 1862
synth_miRNA-93-RLCV-MIR-RL1-2, 366817, 578, 1761, 58757, 2687, 2848
synth_miRNA-930-MIR-463, 14993, 2620, 890, 10497, 1714, 468
synth_miRNA-931-MIR-465, 2526, 301, 1403, 10346, 1174, 507
synth_miRNA-932-MIR-465-5P, 56083, 7342, 13277, 35357, 4111, 1712
synth_miRNA-933-MIR-466B-5P, 14028, 6097, 2457, 18510, 2006, 851
synth_miRNA-934-MIR-466C-5P, 84796, 55101, 18583, 15536, 2255, 749
synth_miRNA-935-MIR-489, 21925, 2675, 310, 1592, 767, 79
synth_miRNA-936-MIR-504, 13202, 135463, 87323, 102819, 5899, 4972
synth_miRNA-937-MIR-509, 30282, 3669, 2995, 18689, 2736, 865
synth_miRNA-938-MIR-509-5P, 14629, 187, 224, 2538, 668, 95
synth_miRNA-939-MIR-532-5P, 17507, 32569, 65234, 48272, 4892, 2370
synth_miRNA-94-RLCV-MIR-RL1-3, 191486, 88372, 3428, 37124, 3660, 1825
synth_miRNA-940-MIR-547, 30259, 2207, 33927, 7774, 1672, 383
synth_miRNA-941-MIR-590, 9883, 11267, 39350, 52755, 5168, 2508
synth_miRNA-942-MIR-590-5P, 23713, 433, 17, 529, 248, 24
synth_miRNA-943-MIR-653, 30758, 12892, 1319, 12013, 1944, 539
synth_miRNA-944-MIR-654, 75399, 25653, 5557, 45435, 4925, 2158
synth_miRNA-945-MIR-654-5P, 156280, 31793, 61238, 125039, 7355, 6128
synth_miRNA-946-MIR-664, 196387, 865, 700, 6680, 1630, 335
synth_miRNA-947-MIR-673, 29583, 2266147, 138517, 96107, 7646, 4603
synth_miRNA-948-MIR-673-5P, 140011, 3667, 1771, 6806, 1507, 295
synth_miRNA-949-MIR-741, 45754, 8966, 13609, 64869, 5294, 3188
synth_miRNA-95-RLCV-MIR-RL1-4, 39671, 81655, 773, 53744, 2211, 2728
synth_miRNA-950-MIR-742, 27205, 75, 7, 310, 217, 13
synth_miRNA-951-MIR-743A, 27120, 17776, 23922, 50395, 4423, 2467
synth_miRNA-952-MIR-743B, 107229, 29389, 6736, 53788, 3473, 2664
synth_miRNA-953-MIR-871, 88048, 6819, 2102, 57645, 4495, 2736
synth_miRNA-954-MIR-875, 229755, 6732, 4465, 32017, 3941, 1535
synth_miRNA-955-MIR-876, 47900, 167, 351, 9364, 1815, 436
synth_miRNA-956-MIR-876-5P, 7072, 5016, 2091, 1274, 641, 80
synth_miRNA-957-MIR-878, 50295, 1500, 4589, 45107, 3992, 2218
synth_miRNA-958-MIR-878-5P, 154050, 34288, 62271, 75231, 6001, 3670
synth_miRNA-959-MIR-880, 4653, 4367, 6944, 3368, 1194, 159
synth_miRNA-96-RLCV-MIR-RL1-4-5P, 12430, 48872, 4654, 25320, 2401, 1189
synth_miRNA-960-MIR-881, 44653, 200521, 80316, 57109, 4325, 2809
synth_miRNA-961-MIR-882A, 17341, 359903, 61080, 73856, 5763, 3332
synth_miRNA-962-MIR-882B, 13649, 299236, 73357, 15814, 2584, 757
synth_miRNA-97-RLCV-MIR-RL1-5, 2823, 178, 43, 305, 221, 16
synth_miRNA-98-RLCV-MIR-RL1-5-5P, 18661, 10205, 20561, 21224, 2402, 1047
synth_miRNA-99-RLCV-MIR-RL1-7, 33404, 70682, 5307, 10969, 1918, 566
